"Gene.Symbol","GSM9098","GSM9099","GSM9100","GSM9101","GSM9102","first","second","third"
"SRSF11",861.6,208,229.2,492.8,349.3,"SRSF11",NA,NA
"SF3B3",170.1,224.3,190.7,154.3,215.2,"SF3B3",NA,NA
"SF3B3",48.2,73.7,66.9,68.3,66.8,"SF3B3",NA,NA
"EEF1G /// MIR3654",3114.4,4934.9,4903.4,3057.5,4249.7,"EEF1G","MIR3654",NA
"HSPA9",71.9,64.8,50.7,87.8,58.7,"HSPA9",NA,NA
"HSPA9",394.3,366.2,289.7,328.4,307,"HSPA9",NA,NA
"HSPA9",240.2,207.4,207.4,211.2,184.6,"HSPA9",NA,NA
"YWHAQ",1556.4,1076,1173.5,1670.9,1377,"YWHAQ",NA,NA
"DDX24",515.1,365.4,379.8,410,414,"DDX24",NA,NA
"PPP2R1A",309,588.8,575.1,397.4,380.5,"PPP2R1A",NA,NA
"GSN",6641,3682.2,4487.4,4667,4251.6,"GSN",NA,NA
"HK1",309.6,298.8,314.7,353.4,360.2,"HK1",NA,NA
"KDELR2",397.4,408.2,556.3,538.7,712.4,"KDELR2",NA,NA
"KDELR2",328.7,517.6,615.1,418.9,509.8,"KDELR2",NA,NA
"KDELR2",472.1,797.2,977.3,657,642.9,"KDELR2",NA,NA
"NPC2",741.2,729.5,1038.8,682.3,700.3,"NPC2",NA,NA
"DDX24",18.2,121.6,88,44.8,64.5,"DDX24",NA,NA
"DYNLL1",1439.3,964.3,1122.7,2465.4,2736.8,"DYNLL1",NA,NA
"LITAF",558.5,1019.6,640.3,538.5,556.7,"LITAF",NA,NA
"EEF1B2 /// SNORA41",1691.1,1630.3,1497,1867.5,1963.7,"EEF1B2","SNORA41",NA
"LITAF",492.3,405.6,465.5,403.9,297.8,"LITAF",NA,NA
"PRKCSH",208.1,376.1,373.6,212.9,202.3,"PRKCSH",NA,NA
"GOT2",181.4,279.8,276,270.4,321,"GOT2",NA,NA
"FKBP1A /// LOC101929368",828.2,678.8,970.3,1171.2,1002.8,"FKBP1A","LOC101929368",NA
"ACADVL",482.6,654.7,702,413.3,413.9,"ACADVL",NA,NA
"SKP1",580.6,541.5,444.3,636.1,424,"SKP1",NA,NA
"MAPRE1",220.3,173.9,236.2,266.5,299.6,"MAPRE1",NA,NA
"MAPRE1",647.1,1219.9,1162.1,893.7,1028.6,"MAPRE1",NA,NA
"OS9",790.8,813.1,842,805.6,684.9,"OS9",NA,NA
"RPL13A /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A",1868,2068,2382.4,1380.5,1268.2,"RPL13A","SNORD32A","SNORD33"
"RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A",6692.9,8172.4,7570.9,5425.8,5924.5,"RPL13A","RPL13AP5","SNORD32A"
"RPL7",7456.8,8121.4,6420.8,7743.3,8258.4,"RPL7",NA,NA
