"","Gene.Symbol","Flu.Immunized.Only.Day.7","Flu.Immunized.Only.Day.7.1","Flu.Immunized.Only.Day.7.2"
"426","ALOXE3",2.254960317,2.34792189,2.255110711
"427","ALPI",2.609542109,2.9631274515,2.515442506
"428","ALPK1",4.609565963,4.38362236666667,4.15035034366667
"429","ALPK2",2.307729422,2.720467009,2.621397411
"430","ALPK3",2.5025560315,2.5214991225,2.088697031
"431","ALPL",2.7783427455,2.54524294,2.6360899505
"432","ALPP",2.603888782,2.96173454,2.663072996
"433","ALS2",3.644259976,3.073497343,3.53714439866667
"434","ALS2CL",3.95472709533333,3.729019239,3.77306168733333
"435","ALX1",2.942874127,2.788285958,2.922558735
"436","ALX3",2.686527607,2.467501202,2.270089582
"437","AMBN",2.310982514,2.720380972,2.279161275
"438","AMBP",2.631725954,2.65988839,2.5725012195
"439","AMBRA1",3.810330785,3.477350333,3.6729361675
"440","AMD1",8.4083526515,8.463172536,8.3516012235
"441","AMDHD1",2.642488271,3.656663192,2.976571711
"442","AMDHD2",3.865647647,3.97010251,4.432441669
"443","AMELX",2.203575212,3.117849801,2.216610896
"444","AMELY",2.388950518,2.220576907,2.333857321
"445","AMFR",6.8782308455,7.4308259745,7.2826702245
"446","AMH",2.688673768,2.538724846,3.028252519
"447","AMHR2",2.715664295,2.980055692,2.834062591
"448","AMIGO2",7.108795314,6.679361155,7.896345636
"449","AMMECR1",5.4756314995,4.92931291375,5.52055284525
"450","AMMECR1L",5.617626643,6.049113846,6.123803505
"451","AMN",3.2058542675,2.8973128365,3.036502879
"452","AMN1",5.605622424,5.290922375,5.735522763
"453","AMOT",2.075177915,2.333448825,2.138675764
"454","AMOTL2",2.379356228,2.355386001,2.334400426
"455","AMPD1",2.940367,2.586521512,2.978247407
"456","AMPD3",5.554810002,5.1817961265,4.8984580765
"457","AMPH",2.585848013,2.739509504,2.917077729
"458","AMT",6.512430472,6.672616386,6.903490425
"459","AMZ1",3.0498782295,2.8053458515,2.788062258
"460","AMZ2",8.677324788,8.606720527,8.92487122
"461","ANAPC1",6.659772477,6.80927794733333,7.064269966
"462","ANAPC10",4.3449022495,4.0809411305,4.516976291
"463","ANAPC13",5.50326135,5.651228291,5.798987503
"464","ANAPC2",4.291849521,4.521571198,4.241815633
"465","ANAPC4",8.0164686285,7.8551668955,8.3898759315
"466","ANAPC5",7.7099127092,7.4358127232,7.7856606336
"467","ANAPC7",6.367366233,5.64255279,6.3547344435
"468","ANG",4.11721873,5.378288924,4.660266164
"469","ANGEL1",3.869530048,3.62353492733333,3.85911854366667
"470","ANGEL2",5.61881703966667,5.78336810733333,5.81051987
"471","ANGPT1",3.25620266866667,2.45203499666667,2.45470017233333
"472","ANGPT2",2.30045704775,2.30937943575,2.35802127575
"473","ANGPT4",3.095228727,2.885847193,2.836929253
"474","ANGPTL1",2.42722751733333,2.308915988,2.33489266033333
"475","ANGPTL2",2.530605544,2.878837194,2.71591232633333
"476","ANGPTL3",2.29642153333333,2.278776518,2.02953793533333
"477","ANGPTL4",3.306153747,3.156396395,3.0848473875
"478","ANGPTL6",3.512279752,4.318399249,3.453377134
"479","ANGPTL7",2.613281489,2.589340792,2.45965164
