"Gene.Symbol","GSM9093","GSM9094","GSM9095","GSM9096","GSM9097","first","second","third"
"GNB2L1 /// SNORD95 /// SNORD96A",2935.4,3123.6,3130.6,3078.4,3407.9,"GNB2L1","SNORD95","SNORD96A"
"SSR2",1260.8,925.2,898.1,990.7,1183.8,"SSR2",NA,NA
"CALM1 /// CALM2 /// CALM3",527.6,558.7,552.9,804.5,910.9,"CALM1","CALM2","CALM3"
"P4HB",2076.7,1227.2,872.5,1341.2,1789.8,"P4HB",NA,NA
"CALM1 /// CALM2 /// CALM3",823.6,836.1,696.5,796.1,1016.2,"CALM1","CALM2","CALM3"
"P4HB",990.6,428.3,379.2,450.6,510.6,"P4HB",NA,NA
"SLC25A5",1382.5,1257.7,1142.1,1180.2,1059.2,"SLC25A5",NA,NA
"PHB",285.4,211.8,255.5,238.2,305.5,"PHB",NA,NA
"PHB",172.2,166.6,176.9,95.5,153.5,"PHB",NA,NA
"S100A11",637.7,490.3,373.4,616.4,977.6,"S100A11",NA,NA
"CTSA",338.6,179.6,153.4,204,278.5,"CTSA",NA,NA
"TOMM20",502.3,622.1,746.1,466.8,491.8,"TOMM20",NA,NA
"CD63",3901.6,2292.8,2234.9,3264.2,3744.8,"CD63",NA,NA
"DNAJB1",241.9,119.1,156.2,141.3,147.5,"DNAJB1",NA,NA
"SPARC",5651.9,3069.4,2461.6,4172.2,5050.1,"SPARC",NA,NA
"DNAJB1",254.1,269.6,225.1,226.9,234.2,"DNAJB1",NA,NA
"UBE2D3",459.7,464.8,476.2,424,379.4,"UBE2D3",NA,NA
"UBE2D3",677.8,576.3,571.6,549.3,390.4,"UBE2D3",NA,NA
"UBE2D3",375.1,289.8,335.1,224.6,185.4,"UBE2D3",NA,NA
"XBP1",277.3,348.4,316.4,318.9,321.5,"XBP1",NA,NA
"SPTBN1",66.4,32.1,32.2,4.7,8.1,"SPTBN1",NA,NA
"SPTBN1",139.3,262.5,266.2,158.2,148.1,"SPTBN1",NA,NA
"LAPTM4A",2279.7,1895.1,2257.1,2217,1885.5,"LAPTM4A",NA,NA
"RPL32",5208.1,6370,7406,6314.9,6891.8,"RPL32",NA,NA
"CD81",3311.2,2832.2,2894.5,3015.6,3340.9,"CD81",NA,NA
"UBE2L3",130.5,110.1,96.7,143.7,152.8,"UBE2L3",NA,NA
"PTTG1IP",1321.1,1127.4,873.7,979.1,977.7,"PTTG1IP",NA,NA
"GRN",694.8,311.9,330.1,322.3,494.3,"GRN",NA,NA
"HMGB1",830.7,713.3,769.9,663.5,535.3,"HMGB1",NA,NA
"HMGB1",2630.1,3561.7,3464.3,3201.2,2934,"HMGB1",NA,NA
"GLO1",963,627.7,812.5,711.3,625.4,"GLO1",NA,NA
"UBE2L3",608.3,536.4,457.7,448.1,541.5,"UBE2L3",NA,NA
"UBE2L3",418.9,240.6,237.1,412.8,383.7,"UBE2L3",NA,NA
"UBE2L3",163.1,154,136.9,172.5,205.1,"UBE2L3",NA,NA
"SRSF11",59.3,116.3,161,120.9,78.7,"SRSF11",NA,NA
"SRSF11",186.8,569.1,827.1,535.7,513.2,"SRSF11",NA,NA
"SF3B3",240.6,165.1,159.6,131.9,159.1,"SF3B3",NA,NA
"SF3B3",51.6,92.9,56.3,64.1,80.7,"SF3B3",NA,NA
"EEF1G /// MIR3654",4956.3,4831.7,3863.3,4420.3,5289.8,"EEF1G","MIR3654",NA
"HSPA9",35,68.8,65.1,63,71.2,"HSPA9",NA,NA
"HSPA9",268.2,334.1,424.3,311.6,343,"HSPA9",NA,NA
"HSPA9",217.7,255.3,270.5,189.6,169.6,"HSPA9",NA,NA
"YWHAQ",1473,1365.2,1420.5,1291,975.7,"YWHAQ",NA,NA
"DDX24",261.9,524.5,462.2,502.1,547.1,"DDX24",NA,NA
"PPP2R1A",523.1,381.6,322.3,462.1,469.4,"PPP2R1A",NA,NA
"GSN",3173.4,2767.8,2320.1,1880.4,2160.6,"GSN",NA,NA
"HK1",374.2,408.6,205.6,346.3,383.3,"HK1",NA,NA
"KDELR2",604.6,668.1,583.9,754.3,590,"KDELR2",NA,NA
"KDELR2",705.1,539.2,541.1,762.9,864.8,"KDELR2",NA,NA
"KDELR2",1023.7,688.4,534.4,544.4,400.5,"KDELR2",NA,NA
"NPC2",1156.6,810.1,643.9,690.3,940.9,"NPC2",NA,NA
"DDX24",68.3,46.9,53.6,11.3,32.3,"DDX24",NA,NA
"DYNLL1",1331.3,2004.3,1706.5,1891.9,1991.1,"DYNLL1",NA,NA
"LITAF",1075.6,444.6,278.1,382.6,432.6,"LITAF",NA,NA
"EEF1B2 /// SNORA41",2046.1,2427.5,2524.2,2194.9,2118.6,"EEF1B2","SNORA41",NA
"LITAF",614.9,393.8,201.6,282.4,428.1,"LITAF",NA,NA
"PRKCSH",176.8,270.3,172.2,313.7,314,"PRKCSH",NA,NA
"GOT2",218.7,331,369.9,362.6,363,"GOT2",NA,NA
"FKBP1A /// LOC101929368",1041.1,864.9,965,1025.3,953.2,"FKBP1A","LOC101929368",NA
"ACADVL",577.4,624.2,446.3,938.1,941.7,"ACADVL",NA,NA
"SKP1",316.4,707.1,657.1,721.3,594.9,"SKP1",NA,NA
"MAPRE1",271.7,193.4,213.2,158.1,82.1,"MAPRE1",NA,NA
"MAPRE1",1130.4,869.1,881,845.2,876.7,"MAPRE1",NA,NA
"OS9",700.4,636.4,722.5,707,891.9,"OS9",NA,NA
"RPL13A /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A",1615.6,1637.9,1826,1696.1,2130.8,"RPL13A","SNORD32A","SNORD33"
"RPL13A /// RPL13AP5 /// SNORD32A /// SNORD33 /// SNORD34 /// SNORD35A",6916.1,8571,8473.1,8949,10128.8,"RPL13A","RPL13AP5","SNORD32A"
"RPL7",7798,6983.1,8754.9,6924.2,6542.6,"RPL7",NA,NA
"SKP1",1928.1,1872.3,1919.9,2068.5,2001.8,"SKP1",NA,NA
"SKP1",100.1,236.3,214.5,169.9,131.9,"SKP1",NA,NA
"ACTR1A",319.5,200.2,185.1,226.6,199.8,"ACTR1A",NA,NA
"ACTR1A",260.4,246.4,215.4,245.3,320.7,"ACTR1A",NA,NA
"CAPRIN1",319.8,171.4,278.7,231.8,108.5,"CAPRIN1",NA,NA
