"Gene.Symbol","Flu.non.immunized.healthy","Flu.non.immunized.healthy.1","Flu.non.immunized.healthy.2","Flu.non.immunized.healthy.3","Flu.non.immunized.healthy.4","Flu.non.immunized.healthy.5"
"ERC1",4.42403049942857,4.61744181057143,4.37647843942857,3.27038518557143,3.607170865,3.81525333285714
"ERC2",2.565159023,2.941907914,2.567661793,2.487380103,2.288608319,2.677215531
"ERCC1",7.37374164166667,7.04087391366667,7.03512308133333,6.40727245966667,6.38379317133333,6.04662531966667
"ERCC2",4.716687115,4.819415302,4.364295551,3.899501095,4.002954489,3.957418678
"ERCC3",6.896826153,7.303308247,7.139264398,6.174639577,6.342481333,6.695896627
"ERCC4",3.668774718,4.2162208855,3.787543245,2.98812665,3.2663039185,3.0398004915
"ERCC6L",2.907567866,3.597859208,3.236576731,3.219535119,3.374622568,3.293528404
"ERCC8",5.39468809233333,4.756628481,5.02124226033333,3.90328969633333,4.13607768433333,3.833886551
"EREG",3.749901194,4.4536940385,5.371209431,5.987604462,5.9100545615,4.704667073
"ERF",4.3146280165,4.1103304145,4.43076588,4.1128614965,4.070021703,3.8734111825
"ERG",2.995773746,3.0245682085,3.12972514525,2.3059876765,2.38589869025,2.40965218875
"ERGIC2",6.626677638,6.58910408225,6.535906046,5.66326286025,6.14099169325,5.7669938275
"ERGIC3",4.96398422533333,4.95913287533333,5.328934579,4.39823728666667,4.571476047,4.649822586
"ERH",10.7459905,10.62213127,10.64986714,9.39223378,9.755071677,9.766651805
"ERI1",4.872299493,5.2604592855,5.17633241,4.491435374,4.659073984,4.039918115
"ERI2",3.71711415433333,3.772991574,3.44106528933333,3.16639701733333,3.11840092033333,3.138468524
"ERI3",4.162917509,3.850070908,4.269116485,4.506999941,4.337138407,4.653657016
"ERICH1",5.828037924625,5.531660292625,5.440647613625,5.008757803375,4.9066126785,5.04085456675
"ERLIN1",6.370048961,6.6435136975,6.584014071,5.48593163,6.112194182,5.0405954895
"ERLIN2",5.994242711,6.270497371,5.94758141433333,4.980704525,4.97636939366667,4.93649689333333
"ERMAP",6.432668372,6.47597541,5.949207645,5.772518354,5.707002365,5.696146184
"ERMN",5.110342676,4.25000044,6.501843398,5.444095935,3.489221234,6.360554773
"ERMP1",6.2294492535,6.2837261885,6.037907791,5.75993123,6.012712101,5.814542361
"ERN1",5.7988248805,5.459466453,6.10284389,5.5686493885,4.7328373795,5.0272831975
"ERN2",5.3151576515,5.136177684,5.3779720865,4.442907015,4.424765384,4.468401621
"ERP27",7.924281792,6.935933331,7.425014,6.902802873,6.907276945,7.258454994
"ERP29",10.78510448,10.17461321,10.03422864,9.940221249,9.79488974,9.846470296
"ERRFI1",4.639253773,4.30605401,5.085962684,3.386878305,3.134188858,3.420733579
"ESAM",3.859479774,4.464933836,3.42628322,4.115192498,4.234405342,3.390873404
"ESCO1",7.69462335633333,7.86726973333333,7.989424124,6.40410926233333,6.60476101133333,7.05224417666667
"ESD",7.3071420895,7.480212877,7.10312480025,6.4158501235,6.584432775,6.453110019
"ESF1",5.9539903,6.5901824115,6.4464210415,4.7873238065,4.588221277,4.6726210045
"ESPL1",3.5182673635,3.701161437,3.8043047755,3.4950618285,4.029551402,3.5354870105
"ESPN",3.15027869233333,3.185035445,3.25662742166667,2.85307413966667,2.56150095833333,2.82299408366667
"ESPNL",3.7715045715,3.6320404485,3.562639418,3.5179652025,2.9049625205,3.226413534
"ESR1",3.370460551875,3.504517975875,3.332871057875,2.775484913875,2.670945569125,2.695094490375
"ESR2",3.29966948916667,3.31311634066667,3.2164469835,2.65889486916667,2.68087245233333,2.8024541835
"ESRRA",5.2962574015,5.264030256,5.4774709325,4.718576516,5.1524244655,4.789318778
"ESRRB",3.32844619833333,3.168434988,3.10358389766667,2.57102456533333,2.54826900133333,2.71563637066667
"ESX1",3.195153031,2.946816151,3.21956032,2.586832459,2.549993331,2.565943405
"ETAA1",6.21161996,7.103445492,6.866461915,5.69230639,5.763865493,5.803345729
"ETF1",8.2971205415,8.0902725915,8.674289307,8.1108789375,7.6853054695,7.9850761845
"ETFA",9.647033055,9.450107199,9.107197022,8.381421325,9.029410746,8.23978867
"ETFB",7.37682012,6.733238456,7.086277467,6.520962432,6.788330214,7.100376346
"ETFDH",4.501991137,4.991490696,5.3926593335,3.957681215,4.4437935755,3.9717966725
"ETHE1",8.722718402,8.499428201,8.226175167,7.041180197,7.975993157,7.436785053
"ETNK1",6.34331022528571,6.50811305628571,6.40135549271429,5.68110693,5.47986194285714,5.404830236
"ETNK2",3.285842023,3.079553058,2.730194726,2.927869479,2.573742976,2.551227975
"ETS1",9.958183173,9.57729900366667,9.75491799366667,8.30504402533333,7.95214698733333,8.76452183933333
"ETS2",6.50487689766667,5.786501379,6.33659665033333,6.81289419366667,6.08624654366667,5.450719764
"ETV1",3.014975864,3.1584761398,2.8636135258,2.7780157706,2.5383465104,2.5287402684
"ETV3",6.12046608333333,5.94729848166667,6.70566060366667,5.86052781933333,5.21260627633333,5.37986217533333
"ETV4",3.402176249,3.3533961075,3.126924135,2.975469531,2.841182694,2.8915484025
"ETV5",3.06081801075,3.1877123635,3.06414875275,2.60195055175,2.76151794075,2.6484900865
"ETV6",6.57768525525,6.57242232925,6.67028682,6.392584514,6.18107799175,6.09866277
"EVC2",2.9418378885,3.0548989725,2.82587166,2.78831853,2.8245745545,2.842035104
"EVI2A",10.58126255,10.29606254,10.57320529,9.685534667,9.700653629,9.178563508
"EVI2B",11.00530048,11.06472258,11.2416117,10.81033532,10.73304258,10.29035675
